idcliente,evasao,genero,idoso,parceiro,dependentes,meses_contrato,servico_telefone,multiplas_linhas,servico_de_internet,antivirus,backup,protecao__de_dipositivo,suporte_tecnico,streaming_tv,streaming_filmes,tipo_contrato,fatura_digital,metodo_pagamento,total_mensal,gasto_total,contas_diarias,meses_contrato_trimestre
0002-orfbo,0,Mulher,0,1,1,9,1,0,dsl,0,1,0,1,1,0,one year,1,mailed check,65.6,593.3,2.1866666666666665,4º Trimestre
0003-mknfe,0,Homem,0,0,0,9,1,1,dsl,0,0,0,0,0,1,month-to-month,0,mailed check,59.9,542.4,1.9966666666666666,4º Trimestre
0004-tlhlj,1,Homem,0,0,0,4,1,0,fiber optic,0,0,1,0,0,0,month-to-month,1,electronic check,73.9,280.85,2.4633333333333334,2º Trimestre
0011-igkff,1,Homem,1,1,0,13,1,0,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,98.0,1237.85,3.2666666666666666,5º Trimestre
0013-exchz,1,Mulher,1,1,0,3,1,0,fiber optic,0,0,0,1,1,0,month-to-month,1,mailed check,83.9,267.4,2.796666666666667,2º Trimestre
0013-mhzwf,0,Mulher,0,0,1,9,1,0,dsl,0,0,0,1,1,1,month-to-month,1,credit card (automatic),69.4,571.45,2.3133333333333335,4º Trimestre
0013-smeoe,0,Mulher,1,1,0,71,1,0,fiber optic,1,1,1,1,1,1,two year,1,bank transfer (automatic),109.7,7904.25,3.6566666666666667,24º Trimestre
0014-bmaqu,0,Homem,0,1,0,63,1,1,fiber optic,1,0,0,1,0,0,two year,1,credit card (automatic),84.65,5377.8,2.8216666666666668,22º Trimestre
0015-uocoj,0,Mulher,1,0,0,7,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,48.2,340.35,1.6066666666666667,3º Trimestre
0016-qljis,0,Mulher,0,1,1,65,1,1,dsl,1,1,1,1,1,1,two year,1,mailed check,90.45,5957.9,3.015,22º Trimestre
0017-dinoc,0,Homem,0,0,0,54,0,0,dsl,1,0,0,1,1,0,two year,0,credit card (automatic),45.2,2460.55,1.5066666666666668,19º Trimestre
0017-iudmw,0,Mulher,0,1,1,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,credit card (automatic),116.8,8456.75,3.893333333333333,25º Trimestre
0018-nyrou,0,Mulher,0,1,0,5,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,68.95,351.5,2.2983333333333333,2º Trimestre
0019-efaep,0,Mulher,0,0,0,72,1,1,fiber optic,1,1,1,0,1,0,two year,1,bank transfer (automatic),101.3,7261.25,3.3766666666666665,25º Trimestre
0019-gfntw,0,Mulher,0,0,0,56,0,0,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),45.05,2560.1,1.5016666666666665,19º Trimestre
0020-inwck,0,Mulher,0,1,1,71,1,1,fiber optic,0,1,1,0,0,1,two year,1,credit card (automatic),95.75,6849.4,3.191666666666667,24º Trimestre
0020-jdnxp,0,Mulher,0,1,1,34,0,0,dsl,1,0,1,1,1,1,one year,0,mailed check,61.25,1993.2,2.0416666666666665,12º Trimestre
0021-ikxgc,0,Mulher,1,0,0,1,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,72.1,72.1,2.4033333333333333,1º Trimestre
0022-tcjci,1,Homem,1,0,0,45,1,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),62.7,2791.5,2.0900000000000003,16º Trimestre
0023-hghwl,1,Homem,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,25.1,25.1,0.8366666666666667,1º Trimestre
0023-uyupn,0,Mulher,1,1,0,50,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,electronic check,25.2,1306.3,0.84,17º Trimestre
0023-xuopt,1,Mulher,0,1,0,13,1,1,fiber optic,0,1,1,0,1,0,month-to-month,0,electronic check,94.1,1215.6,3.1366666666666663,5º Trimestre
0027-kwykw,0,Mulher,0,1,1,23,1,1,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,83.75,1849.95,2.7916666666666665,8º Trimestre
0030-fnxpp,0,Mulher,0,0,0,3,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,19.85,57.2,0.6616666666666667,2º Trimestre
0031-pvlzi,1,Mulher,0,1,1,4,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,20.35,76.35,0.6783333333333333,2º Trimestre
0032-pgels,1,Mulher,0,1,1,1,0,0,dsl,1,0,0,0,0,0,month-to-month,0,bank transfer (automatic),30.5,30.5,1.0166666666666666,1º Trimestre
0036-ihmot,0,Mulher,0,1,1,55,1,0,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),103.7,5656.75,3.4566666666666666,19º Trimestre
0040-halcw,0,Homem,0,1,1,54,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,credit card (automatic),20.4,1090.6,0.6799999999999999,19º Trimestre
0042-jvwoj,0,Homem,0,0,0,26,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,1,bank transfer (automatic),19.6,471.85,0.6533333333333334,9º Trimestre
0042-rlhyp,0,Mulher,0,1,1,69,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,bank transfer (automatic),19.7,1396.9,0.6566666666666666,24º Trimestre
0048-lumls,0,Homem,0,1,1,37,1,0,fiber optic,0,0,0,0,1,1,one year,0,credit card (automatic),91.2,3247.55,3.04,13º Trimestre
0048-pihnl,0,Mulher,0,1,0,49,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,bank transfer (automatic),20.45,900.9,0.6816666666666666,17º Trimestre
0052-dckon,0,Homem,0,1,0,66,1,1,fiber optic,1,1,1,1,1,1,one year,0,bank transfer (automatic),115.8,7942.15,3.86,23º Trimestre
0052-ynyot,0,Mulher,0,0,0,67,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,0,electronic check,20.55,1343.4,0.685,23º Trimestre
0056-epfbg,0,Homem,0,1,1,20,0,0,dsl,1,0,1,1,0,0,two year,1,credit card (automatic),39.4,825.4,1.3133333333333332,7º Trimestre
0057-qbuqh,0,Mulher,0,0,1,43,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,1,electronic check,25.1,1070.15,0.8366666666666667,15º Trimestre
0058-evzwm,0,Mulher,0,1,0,55,1,1,fiber optic,1,0,0,0,1,0,month-to-month,1,bank transfer (automatic),89.8,4959.6,2.993333333333333,19º Trimestre
0060-fualy,0,Mulher,0,1,0,59,1,1,fiber optic,1,1,0,0,1,0,month-to-month,1,electronic check,94.75,5597.65,3.158333333333333,20º Trimestre
0064-sudog,0,Mulher,0,1,1,12,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,bank transfer (automatic),20.3,224.5,0.6766666666666666,5º Trimestre
0064-yijgf,0,Homem,0,1,1,27,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,bank transfer (automatic),75.75,1929.0,2.525,10º Trimestre
0067-dkwbl,1,Homem,1,0,0,2,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,49.25,91.1,1.6416666666666666,1º Trimestre
0068-figtf,0,Mulher,0,0,0,27,1,0,dsl,0,1,1,1,1,1,one year,0,mailed check,78.2,2078.95,2.606666666666667,10º Trimestre
0071-ndafp,0,Homem,0,1,1,25,1,1,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,0,credit card (automatic),25.5,630.6,0.85,9º Trimestre
0074-hdkdg,0,Homem,0,1,1,25,1,0,dsl,1,1,1,0,0,0,one year,1,bank transfer (automatic),61.6,1611.0,2.0533333333333332,9º Trimestre
0076-lveps,0,Homem,0,0,1,29,0,0,dsl,1,1,1,1,0,0,month-to-month,1,mailed check,45.0,1242.45,1.5,10º Trimestre
0078-xzmht,0,Homem,0,1,0,72,1,1,dsl,0,1,1,1,1,1,two year,1,bank transfer (automatic),85.15,6316.2,2.8383333333333334,25º Trimestre
0080-emyvy,0,Mulher,0,0,0,14,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),51.45,727.85,1.715,5º Trimestre
0080-orozo,0,Mulher,0,0,0,35,1,0,fiber optic,0,0,1,1,1,1,one year,1,electronic check,99.25,3532.0,3.308333333333333,12º Trimestre
0082-ldzue,0,Homem,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month-to-month,1,mailed check,44.3,44.3,1.4766666666666666,1º Trimestre
0082-oqiqy,0,Homem,0,0,0,29,1,0,fiber optic,0,0,0,1,1,1,month-to-month,1,electronic check,94.2,2607.6,3.14,10º Trimestre
0083-pivik,0,Homem,0,0,0,64,1,1,dsl,1,1,1,1,1,0,one year,0,electronic check,81.25,5567.55,2.7083333333333335,22º Trimestre
0089-iiqko,0,Mulher,0,1,1,39,1,1,fiber optic,0,0,0,1,1,1,month-to-month,1,credit card (automatic),99.95,3767.4,3.3316666666666666,14º Trimestre
0093-exyql,0,Mulher,1,0,0,40,1,0,fiber optic,0,0,0,0,1,1,month-to-month,1,electronic check,91.55,3673.6,3.0516666666666667,14º Trimestre
0093-xwzfy,1,Homem,0,0,0,40,1,1,fiber optic,0,1,1,0,1,1,month-to-month,1,credit card (automatic),104.5,4036.85,3.4833333333333334,14º Trimestre
0094-oifmo,1,Mulher,1,0,0,11,1,0,fiber optic,0,1,0,0,1,1,month-to-month,1,electronic check,95.0,1120.3,3.1666666666666665,4º Trimestre
0096-bxers,0,Mulher,0,1,0,6,1,1,dsl,0,0,0,0,0,0,month-to-month,0,electronic check,50.35,314.55,1.6783333333333335,3º Trimestre
0096-fcpuf,0,Homem,0,0,0,30,1,1,dsl,1,0,0,0,0,1,month-to-month,1,mailed check,64.5,1888.45,2.15,11º Trimestre
0098-bowso,0,Homem,0,0,0,27,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,1,electronic check,19.4,529.8,0.6466666666666666,10º Trimestre
0100-duvfc,0,Homem,1,1,0,70,1,1,fiber optic,0,1,1,0,1,1,one year,1,electronic check,104.8,7308.95,3.493333333333333,24º Trimestre
0103-csitq,0,Mulher,0,1,0,57,1,1,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),109.4,6252.7,3.646666666666667,20º Trimestre
0104-ppxdv,0,Homem,0,1,0,58,1,0,dsl,0,0,1,0,0,0,one year,0,credit card (automatic),50.3,2878.55,1.6766666666666665,20º Trimestre
0106-ghrqr,0,Homem,0,0,0,16,1,1,dsl,0,1,1,0,0,1,month-to-month,1,bank transfer (automatic),71.4,1212.1,2.3800000000000003,6º Trimestre
0106-ugrdo,0,Mulher,0,1,0,69,1,1,fiber optic,1,1,1,1,1,1,two year,1,electronic check,116.0,8182.85,3.8666666666666667,24º Trimestre
0107-weslm,1,Homem,0,0,0,1,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,1,electronic check,19.85,19.85,0.6616666666666667,1º Trimestre
0107-yhina,1,Homem,0,0,1,1,1,1,fiber optic,0,0,1,0,1,1,month-to-month,1,electronic check,99.75,99.75,3.325,1º Trimestre
0111-klbqg,0,Homem,1,1,1,32,1,0,fiber optic,0,1,0,0,1,1,month-to-month,1,mailed check,93.95,2861.45,3.131666666666667,11º Trimestre
0112-qawrz,0,Homem,0,1,1,16,1,1,fiber optic,0,0,1,0,1,0,month-to-month,1,bank transfer (automatic),90.8,1442.2,3.0266666666666664,6º Trimestre
0112-qwpnc,1,Homem,0,1,0,49,1,1,dsl,1,0,1,1,1,1,one year,0,electronic check,84.35,4059.35,2.8116666666666665,17º Trimestre
0114-igabw,0,Mulher,0,1,0,71,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),58.25,4145.9,1.9416666666666667,24º Trimestre
0114-pegzz,0,Mulher,0,0,0,33,1,1,fiber optic,0,1,1,0,1,1,month-to-month,0,electronic check,107.55,3645.5,3.585,12º Trimestre
0114-rsrrw,0,Mulher,0,1,0,10,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,1,bank transfer (automatic),19.95,187.75,0.6649999999999999,4º Trimestre
0115-tfert,1,Homem,0,1,0,21,1,1,fiber optic,0,1,1,1,1,1,month-to-month,1,electronic check,111.2,2317.1,3.7066666666666666,8º Trimestre
0117-lfrmw,1,Homem,0,1,1,37,0,0,dsl,1,1,1,0,0,0,month-to-month,0,bank transfer (automatic),40.2,1448.8,1.34,13º Trimestre
0118-jpnoy,0,Mulher,1,0,0,26,1,0,fiber optic,1,0,0,0,1,0,month-to-month,1,credit card (automatic),85.8,2193.65,2.86,9º Trimestre
0121-snyrk,0,Homem,0,0,0,50,0,0,dsl,1,0,0,1,0,0,one year,1,mailed check,35.4,1748.9,1.18,17º Trimestre
0122-oahpz,1,Mulher,0,0,0,7,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,73.85,511.25,2.4616666666666664,3º Trimestre
0123-crbrt,0,Mulher,0,1,1,61,1,1,dsl,1,1,1,1,1,1,two year,0,mailed check,88.1,5526.75,2.9366666666666665,21º Trimestre
0125-lzqxk,1,Homem,0,0,0,15,1,0,fiber optic,0,0,1,1,1,1,month-to-month,1,electronic check,101.35,1553.95,3.378333333333333,6º Trimestre
0128-mkwsg,0,Mulher,0,0,1,26,0,0,dsl,1,0,0,1,0,1,month-to-month,0,mailed check,45.8,1147.0,1.5266666666666666,9º Trimestre
0129-kptwj,0,Homem,0,1,0,72,1,0,fiber optic,0,0,1,0,1,1,month-to-month,1,electronic check,94.65,6747.35,3.1550000000000002,25º Trimestre
0129-qmpdr,0,Homem,0,1,1,44,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,1,bank transfer (automatic),20.5,865.05,0.6833333333333333,15º Trimestre
0130-sxoun,0,Homem,0,0,0,66,1,1,fiber optic,0,1,0,0,0,1,month-to-month,0,credit card (automatic),89.4,5976.9,2.98,23º Trimestre
0133-bmfzo,1,Mulher,0,0,0,2,1,0,fiber optic,1,1,0,1,0,0,month-to-month,1,electronic check,86.25,181.65,2.875,1º Trimestre
0134-xwxce,0,Mulher,1,0,0,44,1,0,dsl,0,0,1,1,1,1,one year,0,bank transfer (automatic),74.85,3268.05,2.4949999999999997,15º Trimestre
0135-nmxap,1,Mulher,0,0,0,12,1,1,fiber optic,0,1,0,0,1,0,month-to-month,1,bank transfer (automatic),89.75,1052.4,2.9916666666666667,5º Trimestre
0136-ifmyd,0,Homem,1,1,0,69,1,1,fiber optic,0,1,1,1,1,1,two year,1,electronic check,109.95,7634.25,3.665,24º Trimestre
0137-ocgab,1,Mulher,0,0,0,1,1,1,fiber optic,0,1,0,0,0,0,month-to-month,1,mailed check,80.2,80.2,2.6733333333333333,1º Trimestre
0137-udeuo,1,Mulher,0,0,0,3,1,0,0,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,0,mailed check,19.85,63.75,0.6616666666666667,2º Trimestre
0139-ivfjg,0,Mulher,0,1,0,2,1,0,fiber optic,1,1,0,0,1,0,month-to-month,0,electronic check,90.35,190.5,3.0116666666666663,1º Trimestre
